code,stderr,language,label
"let x = ;
console.log(x)",,javascript,Syntax Error
"let str = ""unclosed;
console.log(str)",,javascript,Syntax Error
"def is_positive(n):
    return n > 0",,python,Correct
"def contains_duplicate(nums):
    for i in range(len(nums)):
        for j in range(i+1, len(nums)):
            if nums[i] == nums[j]:
                return True
    return False",,python,Inefficient Solution
"total = 10
print(total / 0)",ZeroDivisionError: division by zero,python,Runtime Error
"x = {""key"": ""val"",
y = 5",,python,Syntax Error
"s = 'hello'
s[0] = 'H'",TypeError: 'str' object does not support item assignment,python,Runtime Error
"function add(a, b) {
  return a + b
",,javascript,Syntax Error
"JSON.parse(""not json"")",SyntaxError: Unexpected token,javascript,Runtime Error
"def max_subarray_bruteforce(nums):
    max_sum = float(""-inf"")
    for i in range(len(nums)):
        for j in range(i, len(nums)):
            max_sum = max(max_sum, sum(nums[i:j+1]))
    return max_sum",,python,Inefficient Solution
"lst = []
print(lst.pop())",IndexError: pop from empty list,python,Runtime Error
"def sum_to_n(n):
    total = 0
    for i in range(n):
        total += i
    return total",,python,Logical Error
"def gcd(a, b):
    while b:
        a = b
        b = a % b
    return a",,python,Logical Error
"function isValid(s: string): boolean {
    const stack: string[] = [];
    const map = new Map([["")"", ""(""], [""]"", ""[""], [""}"", ""{""]]);
    for (const c of s) {
        if (!map.has(c)) { stack.push(c); continue; }
        if (stack.pop() !== map.get(c)) return false;
    }
    return stack.length === 0;
}",,typescript,Correct
console.log('hello);,,javascript,Syntax Error
"def longest_substring_no_repeat(s):
    seen = {}
    left = max_len = 0
    for right, c in enumerate(s):
        if c in seen and seen[c] >= left:
            left = seen[c] + 1
        seen[c] = right
        max_len = max(max_len, right - left + 1)
    return max_len",,python,Correct
"def average_grade(grades):
    return sum(grades) // len(grades)",,python,Logical Error
"x = int(""abc"")",ValueError: invalid literal for int() with base 10: 'abc',python,Runtime Error
"const obj = {a: 1, b: 2,
const c = 3",,javascript,Syntax Error
"def average(nums):
    return sum(nums) / len(nums)",,python,Correct
"if True
    print(""missing colon"")",,python,Syntax Error
"function isPrime(n) {
  if (n < 2) return false;
  for (let i = 2; i < n; i++) {
    if (n % i === 0) return false;
  }
  return true;
}",,javascript,Inefficient Solution
"def two_sum(nums, target):
    seen = {}
    for i, n in enumerate(nums):
        diff = target - n
        if diff in seen:
            return [seen[diff], i]
        seen[n] = i",,python,Correct
"x = None
print(x.upper())",AttributeError: 'NoneType' object has no attribute 'upper',python,Runtime Error
"def two_sum(nums, target):
    for i in range(len(nums)):
        for j in range(len(nums)):
            if i != j and nums[i] + nums[j] == target:
                return [i, j]",,python,Inefficient Solution
"function isPrime(n) {
  if (n < 2) return false;
  for (let i = 2; i <= Math.sqrt(n); i++) {
    if (n % i === 0) return false;
  }
  return true;
}",,javascript,Correct
"function fibonacci(n) {
  if (n <= 1) return n;
  let a = 0, b = 1;
  for (let i = 2; i <= n; i++) {
    [a, b] = [b, a + b];
  }
  return b;
}",,javascript,Correct
